decade,text,dimensionality
1989,Girl Miss You knew it from the start you would break my heart But still I had to play this painful part You me round your little finger With your magic smile You kept me on a cross awhile You put your spell on took my breath away But there was I could do to make you stay miss you All the love I feel for you Nothing could make me change my point of view Oh miss baby all the love I feel for you Couldn't make you change your point of view You're Now here my time I just don't know what I should do a tragedy for me to see the dream is over And I never will forget the day we met miss you Like a honey you took the best of me Now I can't erase those Like a fairy you were so You left a scar so hard to heal When you had a taste of paradise Back on Earth can feel as cold as ice miss you miss you I miss you all the love I feel for you Couldn't make you change your point of view You're Now here my time I just don't know what I should do a tragedy for me to see the dream is over And I never will forget the day we met miss you a tragedy for me to see the dream is over And I never will forget the day we met miss,28
1989,Love in an lingerie good Yeah like a dog for the boss man for the company on the dice have a fantasy But where am I They tell me that love is blind I need a girl like an open book To read between the Love in an it up when down Love in an it up I hit the ground in the Lingerie second floor She I see you later And love you just a little I hope we get stuck Nobody out alive She show you how to In the mail honey And have you home by Love in an it up when down Love in an it up I hit the ground In the in the air one more time it ain't fair Love in an it up when down Love in an down Love in an it up when down Love in an it up when I hit the ground be a penthouse pauper be a millionaire be a real fast And have me a love affair get my right a test that I got to pass chase you all the way to the honey Kiss your sassafras Love in an it up when down Love in an it up we hit the ground Will you will you care one more time it ain't fair Love in an it up when down Will you will you care one more time it ain't fair Love in an it up when down In the in the air one one one one one one one Love in an it up when down In the in the air one one one one one one one Love in an it up when down In the in the air one one one one one one one Love in an Love in an it up when down In the in the air In the in the air Love in an it up when,27
1989,Jimmy is a second hand hood out in Got a for some Jigsaw the one in the game But I hear okay Got a cozy little job the mob the candy cane the one they call the one that feel all right the one they call on the always ignore paid got it for hire Got it made in the shade Got a little business all day But at night he'll always be found sugar to the sweet People on the street Call this town the one they call the one that feel all right the one they call be your got one thing you'll not what you'd call a glamorous man Got one thing the one they call Oh yeah He'll tell you the king Of these up to Came by his wealth as a of luck he never broke no law Two time out of juice Time to move out quick Heard a down This time stick the one they call the one that feel all right the one they call be your Let him soothe your just take his hand Some people call him an evil man Let him introduce himself real good the only one they call Listen to Jimmy Come play with got one thing you'll not what you'd call a glamorous man Got one thing the one they call Oh yeah,23
1989,the of Love High time we made a stand And shook up the of the common man And the love train from coast to coast the man we love the most Could you could you be squeaky clean And smash any hope of As the headline you're free to choose egg on your face and mud on your One of these they're call it the yeah the of of love Anything is possible when you're the of love the the of love Anything is possible of love the of love the I spy in their They look to the for some kind of divine intervention Food goes to waste So nice to so nice to taste Politician granny with your high Have you no idea how the So without love and a land We're to the of a plan Kick out the bring back the jam the of of love Anything the of love the of of love the the The and the My and me In love Feel the talk about it If you're a then shout about it Open feel about it Open think about it read about it scream about it Everyone yeah Everyone read about read about it Everyone Read it in the in the and the there are to read for us the of love the of love We're the the the of love We're the the of love the of love the of love Time to eat all your Swallow your pride Open your Time to eat all your Swallow your pride Open your High time we made a stand Time to eat all your And shook up the of the common man Swallow your pride And the love train from coast to coast Open your Every minute of every hour I love a sunflower Open your And I believe in love power Open your Love power Love power Open your the of of love the the of the of love the the the of of love the of the the An end to need And the of greed With love the of of love the of love the of of love anything the the of of love the An end to need And the of greed With love the of of love the of love the of of love the of love the of of love the of,40
1989,If I Could Turn Back Time If I could turn back time If I could find a way take back those hurt you and you'd stay I don't know why I did the I did I don't know why I said the I said like a it can cut deep inside are like they wound I didn't mean to hurt you I didn't see you go I know I made you but baby If I could turn back if I could find a way take back those hurt you'd stay If I could reach the give all to you Then you'd love love like you to do If I could turn back time My world was I was torn apart Like someone took a knife and drove it deep in my heart When you out that door I swore that I didn't care But I lost then and there Too strong to tell you I was sorry Too proud to tell you I was wrong I know that I was blind and If I could turn back if I could find a way take back those hurt you and you'd stay If I could reach the give all to you Then you'd love love like you to do If I could turn back time If I could turn back time If I could turn back time baby I didn't mean to hurt you I didn't see you go I know I made you but If I could turn back if I could find a way take back those that hurt you If I could reach the give all to you Then you'd love love like you to do If I could turn back if I could find a way And maybe you'd stay If I could reach the,34
1989,No Crime all I never thought that I could feel this way You came around And brought about a change In me I was a guy You came along and blew my mind You were fast I was slow Everybody said that it would not work Love came And set me free You were there to rescue me Love caught it We thought Why can't we be in Well no crime If guilty of love Let me do my time no crime Everybody love And baby So do I You never thought love Came so No doubt about it Never in your No way You were a girl You came along and my world I walk slow You walk fast Everybody said that it could not last Love came inside of me Never knew how good Our love could be Love caught it We thought Why can't we be in Well spent half a lifetime for someone You say I know it was you They don't it I don't it been in love with you all why So do I So do I So do I So do I Oh so do I And baby,39
1989,Right Here day day And I go insane I hear your voice on the line But it doesn't stop the pain If I see you next to never How can we say Wherever you whatever you do I will be right here for you Whatever it or how my heart I will be right here for you I took for all the That I thought would last somehow I hear the I taste the But I can't get near you now can't you see baby You've got me crazy Wherever you whatever you do I will be right here for you Whatever it or how my heart I will be right here for you I wonder how we can survive This romance But in the end if with you take the chance can't you see baby You've got me crazy Wherever you whatever you do I will be right here for you Whatever it or how my heart I will be right here for you for,21
1989,Cherish cherish So of broken and at this game Before I start this dance I take a chance in you I want more than just romance You are my destiny I can't let can't you please take your aim at me Cherish the thought Of always you here by my side Oh I cherish the joy You keep it into my life always cherish your strength You got the power to make me feel good And I perish the thought Of I never would I was never with casual I can't hide my need For two that bleed With love the way got to be and they never felt this way I bet So don't my point of view Cherish the thought Of always you here by my side Oh I cherish the joy You keep it into my life always cherish your strength You got the power to make me feel good And I perish the thought Of I never would Can't get I won't let you I could never forget to Cherish is the word I use to me of your love You're it You're it to me boy Keep me your joy Give me faith I will always cherish you and they never felt this way I bet So don't my point of view Can't get I won't let you I could never forget to Cherish is the word I use to me of your love Cherish the thought Of always you here by my side Oh I cherish the joy You keep it into my life always cherish your strength You got the power to make me feel good And I perish the thought Of I never would Cherish Give me faith Give me my boy I will always cherish you Give me faith Give me my boy I will always cherish you Cherish your strength Can't get I won't let you Perish the thought I could never forget to Cherish the thought Cherish the joy Cherish your strength Perish the thought Cherish the thought Cherish the joy,33
1989,and Life was a young he had a heart of stone nine to five and he his to the bone Just out of came from the edge of town Fought like a switchblade so no one could take him no He had no no No good at home the a soldier and he fought the world alone And now Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go in his his gasoline It kept his motor but it never kept him clean They say he the wild He had a with a gun shoot the party never You can't think of dying when the your best friend And now Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go yeah will they all heard say He his to the wind And that child blew a child yeah yeah Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go Eighteen and you got it Eighteen and you know Your crime is time and eighteen and life to go Yeah,16
1989,Angel you're fine tonight And every guy has got you in his sight What you're with a clown like me Is one of little So tonight ask the above did I win your What did I What did I say To turn your angel my the guy who never to dance Never even got one second glance Across a room was close enough I could look but I could never touch So tonight the above did I win your What did I What did I say To turn your angel my Don't anyone wake me If just a dream Cause the best thing to me All you You can look all you like But this girl you see here with me tonight just one more thing that I need to know If this is love why it scare me It must be only you can see Cause girl I feel it when you look at me So tonight ask the above did I win your What did I What did I say To turn your angel my,24
