,decade,text
589,2009,I was are you so with So oh So oh So oh So oh So oh So oh So oh So oh All up in the we met at the bar When I don't even know who you are we up in your up in your car But you in and out at up in the you so lame And no one here even your name It must be the it must be the E you be heard you get it whoa oh Why you so with I know Lying that you're when everybody clear that you're upset with oh oh oh found a girl that you couldn't impress Last man on the still couldn't get this You're you're you're your mind you're you know Why you wasting your Got you all up with your complex Seeing right through you like you're in oh why you so with So oh So oh So oh So oh You on your you hard Ain't feed let you starve for You out of hope you ain't the world how much you miss me But we never so why you You a and a the press you a conversation whoa whoa whoa Why you so with And I know Lying that you're when everybody clear that you're upset with oh oh oh found a girl that you couldn't impress Last man on the earth still couldn't get this You're you're you're your mind you're you Why you wasting your Got you all up with your complex Seeing right through you like you're in oh why you so with So oh So oh So oh So oh whoa whoa whoa Why you so with I know Lying that you're when everybody clear that you're upset with oh oh oh found a girl that you couldn't impress Last man on the still couldn't get this You're you're you're your mind you're you Why you wasting your Got you all up with your complex Seeing right through you like you're in
590,2009,Hotel Room Service I want everybody to stop what they Now if you know you're with somebody That you're take the hotel room tonight Make some noise Meet me at the hotel room Meet me at the hotel room Meet me at the hotel room Meet me at the hotel room Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn She like that stuff Two in the and one in the eye That kinky you nasty But I like your type And like whatever you like Bring your just whatever the night Your man just the tonight check you the healthy type here goes some egg Now that sweet That that stuff Let me tell you what we do Two plus you Then we're go three and three You me Then we're go four and four We freak some but first Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn in hotel lobby Then we off to the like Put them in you or open up you blouse And pull that down south okay company a and a party Your girl ain't with I got somebody And by naughty Now that sweet That that stuff Let me tell you what we do Two plus you Then we're go three and three You me Then we're go four and four We freak some but first Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room Forget about your And meet me at the hotel room You can bring your And meet me at the hotel room We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn We at the Holiday Inn
591,2009,Good Go Bad I make them good go bad I make them good go Good go bad Good go bad I know your type little girl Just take a bite Let me shake up your world just one night couldn't be so wrong make you lose control She was so shy I drove her wild I make them good go bad I make them good go bad You were in the with your five best You heard that I was but you couldn't resist I make them good go bad I make them good go Good go bad Good go bad Good go I know your type you're dangerous you're that guy be stupid to trust But just one night couldn't be so wrong You make me lose control She was so shy I drove her wild I make them good go bad I make them good go bad I was in the with my five best I heard that you were but I couldn't resist I make them good go bad I make them good go Good go bad Good go bad Good go bad she got a way with the in the place Treat like they don't stand a chance And he got a way with the in the back like they too hot to dance she got a way with the in the place Treat like they don't stand a chance And he got a way with the in the back like they too hot to dance I make them good go bad I make them good go Them good go I was in the with my five best I heard that you were but I couldn't resist I make them good go bad I make them good go bad I make them good go Good go bad Good go bad Good
592,2009,I Know You Want Me in for the You know that is Street Well this here is be And this how we do dale four I know you want me You know I want I know you want eh You know I want I know you want me You know I want I know you want eh You know I want four a la a four Tick to the on my way to the huh Pit got it from to the yuh BIG and That but damn hot Label flop but Pit won't stop Got her in the cockpit with Now watch me make a movie like I know you want me You know I want I know you want eh You know I want I know you want me You know I want I know you want eh You know I want four a la dale a four got an ass like a with a monkey Look like King Welcome to the what it is With a woman down here They don't play They off the and they love to do and And they love to get it get it on All night long I know you want me You know I want I know you want eh You know I want I know you want me You know I want I know you want eh You know I want four a la a four you can get if you with we can play I got I got we can stay Even got a mattress we can lay I don't I don't what they I know you want me You know I want I know you want eh You know I want I know you want me You know I want I know you want eh You know I want four a la a four
594,2009,Knock You Down not again this ain't to happen to me Keep and keep Whether you it up or You see the hate that they're on a So what we dessert or I never thought be in love like this When I look at my mind goes on a trip Then you came in and me on my face like in a but I already won first place I never thought fall for you as hard as I did You got me our our our yeah Every I look at you and smile you came around And you me me down love around And it you down Just get back up when it you you down love around And it you down Just get back up when it you you down I never thought hear myself say go think kick it with my girl I to be On my pimp high I met this pretty little missile That shot me out the sky so But I know it so good Said if I could go back and Don't you know I if I Miss Independent The load never too she me pull it She shot the bullet that that life I swear to the pimp in me just tonight love around it around And it you down Just get back up when it you you down when it you oh love around And it you down Just get back up when it you you down Tell me can you make it past your So we can fly off into You was always the cheerleader of my That to only date the head of football And I was the class clown that always kept you We were never meant to we just don't mess up the trick Young the new Slick Rick They say I move too but we can't let this moment pass us Let the hourglass pass right into Let the wind blow the ash right before my So I wrote this love right before my How could a goddess ask someone only average for you listen to that Woe is this is tragic we had we was magic I was This is real Now real You should leave your ask him So you take the good with the happy and the sad And let it bring a future than I had in the past I don't make the same I did I don't fall back on my face again admit it I was to answer call And if it make it worth the fall When it hey love around whoa And it you down Just get back up when it you you down Get back up when it you down love around When love around And it you down Just get back up when it you down you down you down Won't see it when it But when it You're feel let me tell you now You see when love and you down when it you down Won't see it when it But when it You're feel let me tell you now You see when love and you down
595,2009,Best I Had You a lot of be my are about them This is not to get This for you you my you all I We could do it real than you done it You be up on other ain't never on it I want this I swear I can spend whatever on it she hold me down every time I hit her up When I get I promise that we live it up She made me beg for it she give it up And I say the same thing every single time I you the best you the best You the best you the best You the best I had best I had Best I had best I had I you the Know you got a call me when no one there Put the key under the mat and you know I be over there I be over I be over there I be all the that you ain't even know was there And you don't even have to ask twice You could have my heart or we could share it like the last slice Always felt like you was so to the fast life Have a that he met you in a past life hair with no on when you're the I hope that you don't take it wrong You don't even trip when say ain't Drake You know that be there soon as I make it home And she a patient in my room Never pay attention to the and what they assume And until them prove it the one that never get you my you all I We could do it real than you done it You be up on other ain't never on it I want this I swear I can spend whatever on it she hold me down every time I hit her up When I get I promise that we live it up She made me beg for it she give it up And I say the same thing every single time I you the best you the best You the best you the best You the best I had best I had Best I had best I had I you the I be on that Tank Buzz so big I could sell a blank disc When my album buy it for the picture And buy it too and claim they got it for they sister Magazine the money ain't the issue They bring to my room and ask me to initial She call me the referee I be so official My shirt ain't got no but I can make your pussy whistle Like the theme song And who told you to put them Double cup you the one I lean on for a then you should get your fiend on just know my is the crack spot Every single she out there like a Get it from the back and make your strap pop All up in your slot a hit the you my you all I We could do it real than you done it You be up on other ain't never on it I want this I swear I can spend whatever on it she hold me down every time I hit her up When I get I promise that we live it up She made me beg for it she give it up And I say the same thing every single time I you the best you the best You the best you the best You the best I had best I had Best I had best I had I you the best you the best You the best you the best You the best I had best I had Best I had best I had ah yeah this the type of joint you dedicate to somebody Just make sure they that special somebody Young yeah You know who you are I got
596,2009,Up in You help me out all a blur last night We need a taxi you're and broke I lost my fake ID But you lost the motel key Spare me your dirty now Don't blame me You cash out And get the hell town Don't be a baby what you told me Shut up and put your money where your mouth is what you get for up in Get up and shake the glitter off your now what you get for up in Why are these so Did we get last up like Why am I your class Don't call your mother now we're in crime Don't be a baby what you told me Shut up and put your money where your mouth is what you get for up in Get up and shake the glitter off your now what you get for up in You got me into this Information lost control Send out an and get some cash out We're tear up the town don't be a baby what you told me what you told me what you told told told me yeah Shut up and put your money where your mouth is what you get for up in Get up and shake the glitter off your now what you get for up in what you baby Shake the glitter shake the glitter some cash baby some cash
597,2009,New Divide I black The lightning all around me I each flash As time began to blur Like a sign That fate had found me And your voice was all I heard That I get what I deserve So give me reason To prove me wrong To wash this memory clean Let the cross The in your Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that Across this new divide There was nothing in sight But left There was nowhere to hide The fell like snow And the ground in Between where we were And your voice was all I heard That I get what I deserve So give me reason To prove me wrong To wash this memory clean Let the cross The in your Across this new divide In every loss in every lie In every truth that you deny And each regret and each goodbye Was a too great to hide And your voice was all I heard That I get what I deserve So give me reason To prove me wrong To wash this memory clean Let the cross The in your Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that Across this new divide Across this new divide Across this new
598,2009,Fire Somebody call fire on the dance whoa What a hey hey got that super than the sun of the South of Got me soon as I through the oh My pocket The way she it that Got me spend my money on her She get pop lock drop that birthday cake Got a need to blow that crazy flame away Now take my black card and my jewelry is cool like the cool like fire Somebody call fire on the dance whoa I cool her down She bring the roof to ground on the dance whoa fire fire on the dance floor That little fire on the dance floor fire fire on the dance floor That little fire on the dance floor That body is a masterpiece The order is one in every hundred But ain't no doubt it home afraid we'll blow them Little game is about to change She'll be on over the world She get pop lock drop that birthday cake Got a need to blow that crazy flame away Now take my black card and my jewelry is cool like the cool like fire Somebody call fire on the dance whoa I cool her down She will bring the roof to ground on the dance whoa fire fire on the dance floor That little fire on the dance floor fire fire on the dance floor That little fire on the dance floor She got that fire in her dance That make them run around No exit from the dance floor So them want more She got that fire in her dance That make them run around My get out my sing now No exit from the dance floor so them want more What that my go She get pop lock drop that birthday cake Got a need to blow that crazy flame away Now take my black card and my jewelry is cool like the cool like fire Somebody call fire on the dance whoa I cool her down She will bring the roof to ground on the dance whoa fire fire on the dance floor That little fire on the dance floor fire fire on the dance floor That little fire on the dance floor Somebody call
599,2009,Well you done done me you bet I felt it I to be chill but you're so hot that I I fell right through the Now to get back Before the cool done run out be it my to stop me but divine intervention I reckon again my turn to win some or learn some But I won't hesitate no no more It cannot Well open up your mind and see like me Open up your and damn you're free Look into your heart and you'll find love Listen to the music of the people dance and sing We're just one big family And our right to be So I won't hesitate no no more It cannot sure no need to complicate Our time is short This is our Do you want to come on on over dear And I will nibble your ear been way too long my tongue in the mirror And over just to try to see it But my breath up the glass And so I drew a new face and I I guess what I be is there ain't no reason To rid yourself of and just go with the what we aim to do Our name is our virtue But I won't hesitate no no more It cannot wait Well open up your mind and see like me Open up your and damn you're free Look into your heart and you'll find The sky is So please please please don't no need to complicate our time is short This this this is our fate
