,decade,text
138,2019,Lucid on the mix no no no no I still see your in my room Can't take back the love that I gave you to the point where I love and I hate you And I cannot change so I must oh said than I thought you were the one to my heart instead of my head You found another but I am the one I won't let you forget me I still see your in my room Can't take back the love that I gave you to the point where I love and I hate you And I cannot change so I must oh said than I thought you were the one to my heart instead of my head You found another but I am the one I won't let you forget me You left me and inside my grave I know that you want me dead I take to make me feel I know all in my head I have these lucid where I can't move a thing of you in my bed You were my everything of a ring Now just off dead do it over again I didn't want it to end I watch it blow in the wind I to my Leave this in the but I want it to last You were made fake I was up in your drastic Who knew evil had the You gave me a heart that was full of I gave you my heart and you made heartbreak You made my heart break You made my heart ache You made my heart break You made my heart ache You made my heart break You made my heart ache You made my heart break again I still see your in my room Can't take back the love that I gave you to the point where I love and I hate you And I cannot change so I must oh said than I thought you were the one to my heart instead of my head You found another but I am the one I won't let you forget me I still see your in my room Can't take back the love that I gave you to the point where I love and I hate you And I cannot change so I must oh said than I thought you were the one to my heart instead of my head You found another but I am the one I won't let you forget me Leave this in the but I want it to last You were made fake I was up in your drastic Who knew evil had the said than I thought you of my head You found one I won't let you forget
139,2019,Follow God I stretch Stretch my to You this is what your life try life right know push your typewrite This is like a but very Every single every single I was at the and I don't even like I was at my he told ain't I was at the referee just like Mike for a bright what your life like on a white like on the for a night light at my dad and he told ain't But nobody never tell you when you're being like Only me only when they me Like if made a movie for BET for a now you see it free Now you see if just see if three apiece Tell me what your life turn it a bright light with my and he told ain't just been for a new way just not to do the fool way I don't have a cool on my though Block on the text else next though Not another or a decimal with I don't want to wrestle everything in my life with my and he ain't Man You like Somebody only close who can get off your I be on my I woke up this I said my all I to talk to my dad Give him some he on me I start He said ain't I
140,2019,Post to Post at March Post at Post Young Thug Post Post alongside Lee Post music video for March Post music video for Mass Appeal documentary is a Post at the Annual alongside Red Hot Chili First annual August Post at the with Savage and August Post at Post second studio Post third Post as the second single Post first Post Post music video for March Post music video for Post music video for Post first studio August Post through as the first single Post music video for Post music video for Post music video for August May Post first August Post on Post music video for Music
141,2019,Money in the Grave okay on the yeah I where the should I even I got that in the dark I got my the street large back to the fact that they dead Thought my wasn't they sat with the I got two one need a charge they I could tell they ass apart I got big on the way I got big out the safe I got Max with he the wave a big gap between us in the game In the next stay paid When I put my money in the grave When I put my money in the grave I put a couple in they place just every in the race I might tat on my face let it slap with the bass I to save with a mask and a cape Now go Ain't about to die with no I done gave it I was on top when that meant a lot Still on top like of the drop Still on top and these swap swap like or I don't change good where at Mob so always good where at Word to Baby J Tell when I put my money in the grave Couple call and collect She a then she on to the next she in awe with a mack When you small in the mall with a rat Roll with us if you get it Go get a half a million in the Phone know a big I got the hookup and no limit Dead broke is in you in with the just another state case Bury my Chase time to bounce count on my allowance You so I it A like I got a zillion Got the trap like when I it Then out And never talk about it The but we all smoke the Rich and modest the way I do my never like a Want the house You could my accountant My per diem six and Nine was the goal I hit it These ain't so bury mine with me got it When I put my money in the grave I put a couple in they place just every in the race I might tat on my face let it slap with the bass I to save with a mask and a cape Now go Ain't about to die with no I done gave
142,2019,with a I don't be alone tonight pretty clear that not over you still the you do So I don't be alone alone alone tonight Can you light the I need somebody who can take control I know what I need to do I don't be alone alone alone tonight Look what you made me with somebody new with a Look what you made me with somebody new with a with a I wasn't even out tonight I need to get you off of my mind I know what I have to do I don't be alone alone alone tonight Look what you made me with somebody new with a Look what you made me with somebody new with a with a with a Look what you made me with somebody new with a Look what you made me with somebody new with a
143,2019,You Need To Calm Down You are somebody that I don't know But you're at me like And just AM Say it in the a But you say it in a a And just are you And I ain't mess with your But a lesson that and somebody else is no fun And and never broke my So You need to calm you're being too loud And just like You need to just like can you just not step on my You need to calm down You are somebody that we don't know But you're at my like a missile Why are you mad when you could be Sunshine on the street at the parade But you would rather be in the dark that sign taken all night You just need to take several and then try to the peace And control your to scream about all the people you hate shade never made anybody less gay So You need to calm you're being too loud And just like You need to just like can you just not step on his You need to calm down And we see you over there on the all the who are it But we you out We all know now we all got You need to calm down You need to calm down You're being too loud And just like You need to just stop Like can you just not step on our You need to calm
145,2019,Said she of little need a big boy Pull up inch like Troy Now everybody need a decoy up the vodka with the yeah All the housewives up I got a lot of Fall Out Boy You was in the beginning Back when I was more I know it piss you off to see me See the igloo in my mouth when I be yeah in my on me deep when I roll like the army Get more these are a moment when I show got in my on me your know me Get more these are a moment when I show got Everywhere I go Catch me on the block like in the snow Trunk in the front like that yeah Cut the roof off like a Pull up to the house with some big Turn the kitchen to a Me and came for When I got all of just Before I none of Now they always to the kid And this is not a but out this to have a but I got more now Made another hit I got now Always for never punt fourth down Last Hail in my on me deep when I roll like the army Get more these are a moment when I show got in my on me your know me Get more these are a moment when I show got Got wow Wow
146,2019,a train wreck I don't be too much But I don't miss your touch And you don't seem to give a I don't keep you But I do just what I have to do And I might not be the one for you But you ain't to have no boo I know we be so But we be so crazy I can't have what I but neither can you You ain't my And I ain't your But you don't want me to see nobody else And I don't want you to see nobody But you ain't my And I ain't your But you don't want me to touch nobody else we ain't tell nobody Even though you ain't I promise the way we fight Make me feel like we just in love when push to shove a train too I lose my mind when it to you I take time with the I choose And I don't want a smile if it ain't from yeah I know we be so you drive me crazy I can't have what I want and neither can you You ain't my And I ain't your But you don't want me to see nobody else And I don't want you to see nobody But you ain't my And I ain't your But you don't want me to touch nobody else we ain't tell nobody I kiss you don't miss you But I can't be with you I got on the seem like easy Careful with but still hard to read me Stress high when the trust low Bad where'd the fun Try to open up and love more Try to open up and love more If you were my And you were my I wouldn't see nobody else But I can't guarantee that by myself You ain't my And I ain't your But you don't want me to see nobody else And I don't want you to see nobody But you ain't my And I ain't your But you don't want me to touch nobody else we ain't tell nobody You ain't my And I ain't your But you don't want me to see nobody else And I don't want you to see nobody But you ain't my And I ain't your But you don't want me to touch nobody else we ain't tell
147,2019,If I Have You I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have in and I got this view But I might as well be in a hotel yeah It doesn't so all my from you good at my I know that you're the You know that I hate to admit it But everything nothing if I can't have you I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have so sorry that my off But I can't move on if we're still talk Is it wrong for me to not want I want all of all the good at my I know that you're the You know that I hate to admit it But everything nothing if I can't have you I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have to move forget but I hold on Everything everything babe to move forget but I hold on Everything nothing if I can't have no I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have I can't write one song not about you Can't drink without about you Is it too late to tell you that Everything nothing if I can't have
148,2019,Without Me Found you when your heart was broke I your cup until it Took it so far to keep you close I was afraid to leave you on your own I said catch you if you fall And if they then all And then I got you off your Put you right back on your feet Just so you could take advantage of me Tell it feel up so but too far away to hold me You know the one who put you up there Name in the it get you could live without me you could live without me the one who put you up there I don't know why you could live without me Live without me the one who put you up there I don't know why Gave love a hundred Just from the in your mind Then I took and made mine I didn't notice my love was blind Said catch you if you fall And if they then all And then I got you off your Put you right back on your feet Just so you could take advantage of me Tell it feel up so but too far away to hold me You know the one who put you up there Name in the it get you could live without me you could live without me the one who put you up there I don't know why you could live without me Live without me the one who put you up there I don't know yeah You don't have to say just what you did I already know I had to go and find out from them So tell it Tell it feel up so but too far away to hold me You know the one who put you up there Name in the it get you could live without me you could live without me the one who put you up there I don't know why
149,2019,breakfast at and of with who like in trouble and Buy myself all of my Been through some bad I should be a sad bitch Who thought it'd turn me to a Rather be up with and not Write my own like I write what I yeah My stop my neck is Make big my gloss is You like my just bought it I see I like I want I got it I want I got I want I got it I want I got I want I got it You like my just bought it I see I like I want I got it a but ain't be no Bought for six of my rather spoil all my with my Think therapy my new Whoever said money can't solve your Must not have had enough money to solve They I I want all of is the same price as My smile is my skin is The way it I know you've seen it I bought a crib just for the closet Both his and I want I got yeah I want I got I want I got it I want I got I want I got it You like my just bought it I see I like I want I got it my be like phone If it ain't then wrong Black card is my business card The way it be the tone for me I don't mean to but I be it in the yeah When you see them they up like my yeah go from the store to the booth Make it all back in one the loot Never I got the juice Nothing but net when we shoot Look at my look at my jet Ain't got enough money to pay me respect Ain't no budget when on the set If I like then what I yeah I want I got I want I got it I want I got I want I got it You like my just bought it I see I like I want I got it
151,2019,been I want you to be I want you to be When the When we see what we've become In the cold light of we're a flame in the wind Not the fire that we've begun Every every word we can't take back with all that has I think that we both know the way that this story Then only for a minute I want to change my mind this just don't feel right to me I raise your I want to see you smile but Know that have to leave Know that have to leave been I want you to be I want you to be When the And left there with my And the image of you being with someone else me up inside But we ran our we we're okay Now if we jump at least we can swim Far away from the wreck we made Then only for a minute I want to change my mind this just don't feel right to me I raise your I want to see you smile but Know that have to leave Know that have to leave been I want you to be I want you to be So go I will go So go I will go been I want you to be I want you to be Even though I might not like this I think that you'll be I want you to be Then only for a minute I want to change my mind this just don't feel right to me I raise your I want to see you smile but Know that have to leave Know that have to leave been I want you to be I want you to be So go I will
152,2019,baby Nothing not I never get that up so sober Love to see you shine in the night like the diamond you are good on the just hold me in the dark No know what we hit me up when you're I live down the street So we meet when you need and All I hear Nothing than this Nothing Nothing than this Nothing oh no We don't this is what you like admit Nothing than this You say we're just but I swear when around You keep my hand around your we are you it I am I got so high the other I swear to felt my feet lift the ground yeah Your back against the this is all you've been about In my Nothing than this Nothing Nothing than this Nothing oh no We don't this is what you like I admit Nothing than this right Take it bring it side to side Like like right Take it bring it side to side Like Nothing than this Nothing Nothing than this Nothing oh no We don't this is what you like I admit Nothing than this Nothing than
153,2019,Bad Yeah Back legal I got more than The Foreign on with my that is Don Trust at the top it isn't Everybody like they know Don't just say you're you show me Bring the clip back empty You to see the so they sent I just broke her off with a That ain't just just a for her Just to blow it in the doesn't mean that we're I I put a on the card I ain't grow up but show you how the you do it If you ball you fall When your back against the wall And a bunch of need you to go away Still bad on anyway Saw you last but did it broad day lot of in the hallway Got a sticky and I keep it at my place I left your love at now all shade Still bad on you anyway ah I could fit like in my Me and scary If you with my just don't come near me Put some all on your head like Terry cost a Known to keep the on commando Every time in my I move like Ain't a in that I can't go For real She you rich I call me I got on my wish list the only thing I want for been had my way out know You ain't that you we know cap You ain't got to ask me when you see know we back we just a for her Just to blow it in the doesn't mean that we're I I put a on the card I ain't grow up but show you how the you do it If you ball you fall When your back against the wall And a bunch of need you to go away Still bad on anyway Saw you last but did it broad day Wheezy
154,2019,Shallow Tell me girl Are you happy in this modern Or do you need Is there else you're In all the good I find myself for change in the bad I fear myself Tell me boy Aren't you fill that Or do you need Ain't it hard it so In all the good I find myself for change in the bad I fear myself off the deep watch as I dive in never meet the ground Crash through the surface where they can't hurt us We're far from the shallow now In the In the In the We're far from the shallow now ha ha off the deep watch as I dive in never meet the ground Crash through the surface where they can't hurt us We're far from the shallow now In the shallow In the In the shallow We're far from the shallow
155,2019,High high Had to have high for a for the when I couldn't make a Didn't have a dime but I always had a vision Always had high Had to have high for a Didn't know how but I always had a I was be that one in a million Always had high fulfill the prophecy Be something go make a legacy Manifest back in the We everything burn your your light up your Museum every day We everything said don't give a little All no more love and hate to see you Had to have high for a for the when I couldn't make a Didn't have a dime but I always had a vision Always had high Had to have high for a Didn't know how but I always had a I was be that one in a million Always had high uphill for The ain't The weird and the don't change We everything Stay up on that rise Stay up on that rise and never come oh Stay up on that rise Stay up on that rise and never come down said don't give a little All no more love and hate to see you They say all been done but they haven't seen the best of So I got one more run and be a sight to Had to have high for a for the when I couldn't make a Didn't have a dime but I always had a vision Always had high Had to have high for a Didn't know how but I always had a I was be that one in a million Always had high Had to have high for a for the when I couldn't make a Didn't have a dime but I always had a vision Always had high Had to have high for a Didn't know how but I always had a I was be that one in a million Always had high
156,2019,MODE yeah Sun is cold how we already here My would do it for a belt just all he he don't know else I to show yeah I to show yeah yeah on you with the pick and roll Young La he in mode Made this here with all the ice on in the booth At the gate when they pull they get me loose Jump Out out This way too when we pull give me the loot Was off the had a Papoose Had to hit my old town to duck the hour we made no Now AM and back up with the crew I just Chase B pop like Juice Different think my And they know the wish it was a noose said To win the we all in too deep for don't play us for weak To win the we all in too deep for don't play us for weak this way too know I don't follow suit most of these ain't got a clue All of these I made off I I might take all my and put all in a group Hit my I need the to turn this function to Told you In the treat me like Uncle Luke Had to slop the top just a She we I We ain't even make it to the room She thought it was the just the pool Now I got her just the Goose Who put this the glue Someone said me out the blue Someone said for Someone someone said Don't play us for weak yeah in love with who I am Back in high I to bus it to the dance Now I hit the with in my I did half a thirteen I land Had me out like a yeah Like a yeah Like a slept through the for the this got double man I still got to man I crept down the block Made a right Cut the paid the price think sweet on sight nice in my ice over what I like what we like Lost my you not a threat When I shoot my that like See the that I took wet like Book Wet like I be circle dizzy Like where is No one seen him clean in love with who I am Back in high I to bus it to the dance Now I hit the with in my I did half a thirteen I land Had me out like a light Like a light Like a light Like a light the a ain't yeah He that on I know this yeah yeah to yeah We back on the they no yeah in the back She said she on her yeah Ain't by the this how it yeah a yeah just check the yeah Pass this to my show her what it took Baby cover got these other shook
